,id,latitude,longitude,date_from,date_to,xmin,ymin,xmax,ymax
40,021801_2.0005.138,51.01269453335406,16.610324310248867,2019-05-09,2019-05-13,16.604331266708826,51.00978279280186,16.615030477913873,51.01591458771186
41,021908_5.0002.4,50.99917912974164,16.590484898463153,2019-05-09,2019-05-13,16.58750114940083,50.99621603539236,16.594682741483098,51.00303882892707
42,021908_5.0002.326/4,50.99147817294144,16.58000372817202,2019-05-09,2019-05-13,16.578825193878938,50.990722958245264,16.58137148944865,50.99219902613628
43,021502_2.0012.55/2,50.86580207535322,17.14999901886885,2019-05-09,2019-05-13,17.148263391783335,50.864430449886605,17.15199104022179,50.86750169445457
44,021705_5.0007.129,50.858057546026444,17.162773944031215,2019-05-09,2019-05-13,17.157236088352107,50.85217715170197,17.167814215397875,50.863389481530994
45,021705_5.0007.130,50.85429870795014,17.16883662018152,2019-05-09,2019-05-13,17.16721965486904,50.85206576685101,17.172263400082816,50.85665032233972
46,021705_5.0007.142,50.84204051295016,17.181900244388288,2019-05-09,2019-05-13,17.175322431342646,50.83955301363873,17.18780539030054,50.844639904738436
47,021705_5.0022.20/2,50.84566362331828,17.202036990665647,2019-05-09,2019-05-13,17.199110427508977,50.84335137957545,17.205000917493116,50.84760909660625
48,021705_5.0015.155/7,50.84958264609042,17.220152844944227,2019-05-09,2019-05-13,17.217617645814727,50.848561075563076,17.222574265640823,50.85075054083317
49,021504_2.0019.175,50.851564817134054,17.274175621494248,2019-05-09,2019-05-13,17.270188458337387,50.84825976237165,17.279137340972657,50.85539779945198
50,021504_2.0003.203/2,50.862909416372965,17.29261626204975,2019-05-09,2019-05-13,17.290499248226652,50.85707520871511,17.294913415898698,50.868359903105805
51,300308_2.0015.75/27,52.406691288552715,17.653535055468716,2019-04-29,2019-05-03,17.646619345459683,52.40304647657504,17.662283253415115,52.41206482375409
52,300308_2.0015.36/18,52.400224201772325,17.653492140182895,2019-04-29,2019-05-03,17.64874059637944,52.39780140129816,17.658189068434044,52.40242537060837
53,300308_2.0015.62,52.3912943985692,17.651088881040582,2019-04-29,2019-05-03,17.647217044070533,52.38836059184907,17.65450832104032,52.394352914618366
54,300308_2.0013.60/1,52.42632407270686,17.661428212661228,2019-04-29,2019-05-03,17.65699351081608,52.42352360798099,17.67083845774901,52.42897837212615
55,300308_2.0007.49,52.452969596653865,17.620978004576,2019-04-29,2019-05-03,17.618386120370474,52.451678627222876,17.62452125504577,52.45452449172926
56,300308_2.0002.83/8,52.45789299019583,17.601610611437856,2019-04-29,2019-05-03,17.598274806125943,52.45451098414218,17.60651909990885,52.4621836561303
57,300308_2.0002.22,52.458010666028976,17.61083741016993,2019-04-29,2019-05-03,17.60689377694242,52.45509138704257,17.617029487551285,52.46127273496084
58,300305_4.0001.800,52.61712425291057,17.42586886161741,2019-04-29,2019-05-03,17.42166908304631,52.61298396114534,17.42940995405082,52.620285404598995
59,300305_4.0001.458/27,52.61772846497746,17.41703976662554,2019-04-29,2019-05-03,17.410811992468254,52.61402550563639,17.42264954093121,52.621513785876125
61,281704_4.0002.233/3,53.63273,20.80774,2020-05-25,2020-05-29,20.80001456462603,53.625791104662056,20.811582460175426,53.63388696370287
62,281706_2.0029.167/3,53.64282,20.98537,2020-05-25,2020-05-29,20.97949834766163,53.63978250522828,20.990021531944763,53.65065419883724
63,281702_2.0010.167/9,53.66056,20.9931,2020-05-25,2020-05-29,20.985959746744477,53.655551497077155,20.99913302644251,53.66576804239275
64,281702_2.0010.79/5,53.67701,20.99406,2020-05-25,2020-05-29,20.99111905080856,53.67471376266078,20.999164823527106,53.67906173562468
65,281702_2.0013.37/2,53.73394,21.05942,2020-05-25,2020-05-29,21.054326660542184,53.73025614089533,21.06472448872492,53.739300441664874
66,281702_2.0013.79,53.73588,21.04882,2020-05-25,2020-05-29,21.043606394333658,53.73434414534686,21.05562503708598,53.739074190897675
